,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
113098,04655e21-daa9-4196-b795-4526a6e912ca,"A 62-year-old man is evaluated in the ER for sudden onset of swelling of the right calf with pain for past 2 days. The patient noticed the swelling after he woke up from sleep and had pain while walking. He cannot recollect any history of trauma, denies any recent travel, and has never had a blood clot in the past His medical history is remarkable for hypertension, adequately controlled with lisinopril, and stage-III squamous cell carcinoma of the lung for which he recently completed six cycles of chemotherapy. On physical examination, there is tender swelling of the right calf without erythema. His D-dimer is 640 ng/mL. Venous Doppler of the right leg reveals occlusive thrombi in the deep veins. A plan is made to initiate anticoagulation and to extend the treatment for 6 months.What will be the drug of choice for anticoagulation for this patient?",Rivaroxaban,Low-molecular-weight heparin,Warfarin,Low dose aspirin (81 mg/d),1,single,"Malignancy is a recognized risk factor for venous thromboembolism (VTE), and VTE is the second leading cause of death in cancer patients. Procoagulant molecules expressed both by cancer cells and host tissue contribute to this condition. Low-molecular-weight heparin (LMWH) is the preferred anticoagulant for long-term treatment in patients with cancer. When compared with warfarin, LMWH reduces the rate of recurrent VTE without significant risk of bleeding. Newer anticoagulants such as rivaroxaban have not been adequately tested for cancer-induced VTE yet.Young patients with unprovoked VTE, a history of unexplained VTE, or family history of VTE raise the suspicion of an inherited hypercoagulable disorder. The common inherited hypercoagulable disorders are Factor V Leiden mutation, prothrombin gene mutation, protein S deficiency, protein C deficiency, antithrombin III deficiency, dysfibrinogenemia, and antiphospholipid antibody syndrome. When inherited hypercoagulable disorders are strongly suspected, tests for above mentioned disorders can be ordered. In the event of an acute thrombosis, however, it is not recommended to test for protein C, protein S, and anti-thrombin III since active coagulation can reduce the plasma concentration of these proteins resulting in false-positive result. To avoid confusion, it is recommended to order only Factor V Leiden mutation, prothrombin gene mutation, and antiphospholipid antibody with acute VTE or when patients are on warfarin.Warfarin-induced skin necrosis results from a transient hypercoagulable state. Warfarin initially affects all the vitamin K-dependent clotting proteins (Factors II, VII, IX, X, and proteins C and S). Since Protein C has a short half-life (8-12 hours), the serum protein C concentration drops quickly to 50% of normal in first 24 hours. Since circulating levels of other vitamin K-dependent proteins are still high, this gives rise to a hypercoagulable state which may cause microthrombi in the dermal and subcutaneous vessels, resulting in skin necrosis. The risk is particularly high in case of congenital protein C deficiency; nearly one-third cases of warfarin-induced skin necrosis are associated with congenital protein C deficiency.",Medicine,Oncology
113153,8e64e53c-fbc8-4de4-b12d-843986b58265,"A 19 - year - old boy suffering from chronic Schizophrenia is put on haloperidol at the dose of 20 mg/day. A week after the initiation of medication the patient shows restlessness, fidgetiness, irritability and cannot sit still at one place. The most appropriate treatment strategy is:",Increase in the dose of haloperidol,Addition of anticholinergic drug,Addition of beta blocker,Adding another antipsychotic drug,2,single,"The history here is suggestive of akathisia AKATHASIA It is a subjectively unpleasant state of inner restlessness where there is a strong desire to move Signs and symptoms: foot stamping when seated constantly crossing/uncrossing legs rocking from foot to foot constantly pacing up and down Prevalence: Higher prevalence with typical antipsychotics Among atypical antipsychotics, most prevalent withAripiprazole Treatment: Beta blockers like propranolol (DOC) Anticholinergics and benzodiazepines can also be used",Psychiatry,Schizophrenia Spectrum and Other Psychotic Disorders
113208,7ff9a44d-7e0c-4042-9a02-fc4611a90a56,"A 45 years old male with history of chronic duodenal ulcer was brought to the emergency in the state of shock. After resuscitation, patient was sent for investigations. Chest X-ray is given below. What is the preferred treatment option?",Modified Graham's repair,Truncal vagotomy with antrectomy,Truncal vagotomy with gastrojejunostomy,Billroth I gastrectomy,0,multi,"X-ray: * Gas under Right dome of diaphragm -Pneumoperitoneum Perforation peritonitis * Pneumoperitoneum Anteriorly located ulcers- PerforatePosteriorly located ulcers- Bleed - Due to GDA - Massive bleeding SxOC- Omental patch repair / modified graham's repair Asymptomatic causes of gas under the diaphragm: Thoracic Abdominal Gynecological PEEP ventilation Pneumothorax/ pneumomediastinum CPR with mouth to mouth ventilation Pulmonary TB Postop- after laparoscopy Endoscopic procedures Pneumatosis cystoides intestinalis Pelvic insufflation PID Pneumatosis cystoides intestinalis- transient, thin cysts containing nitrogen in submucosa & subserosa of small bowel due to | intraluminal pressure These gas filled cysts may rupture into peritoneal cavity to cause sterile pneumoperitoneum C/F- abdominal distension, pain, vomiting, bowel disturbances Complications- intestinal obstruction, hemorrhage, perforation Rx- Oxygen therapy, metronidazole",Surgery,GIT
113258,f7520af6-7fc3-4e37-88d0-1cc8168275d7,Which of the following drugs can be used for the treatment of chloroquine resistant malaria in children,Chloroquine,Doxycycline,Tetracycline,Clindamycin,3,single,"Tetracycline and clindamycin are active against erythrocytic schizonts of all human malarial parasite. Doxycycline is commonly used in the treatment of falciparum malaria in conjunction with quinine, allowing a shorter and well tolerated course of quinine.
Clindamycin is slowly active against erythrocytic schizonts and can be used in conjunction with quinine in those for whom doxycycline is not recommended, such as children and pregnant women.
Thus, the answer is clindamycin because:
	– In chloroquine resistant malaria, chloroquine will be ineffective.
	– Tetracycline and doxycycline are contra-indicated in children (due to risk of bone and teeth abnormalities).",Pharmacology,
113342,bb8c990d-29e1-43cb-8c45-32c7501ef2f7,"In a nulliparous woman, the treatment of choice in ruptured ectopic pregnancy is :",Salpingectomy and end to end anastomosis,Salpingo-oophorectomy,Wait and watch,Linear salpingostomy,3,single,"Ans. is d i.e. Linear salpingostomy In the question the patient is presenting with ruptured ectopic pregnancy therefore surgical management is a must (option ""c"" ruled out) Since, the patient is a nulliparous woman so we will avoid radical surgery in the form of salpingectomy or salpingo-oophorectomy as far as possible. Now the only option of conservative surgery given in the options is--Linear salpingostomy, so we will go with it. ""The woman who is hemodynamically stable and strongly desires to preserve feility is an appropriate candidate for salpingostomy.""",Gynaecology & Obstetrics,
113723,55abc277-0cc3-4322-a3c6-ce8182d2efe0,A 30-year-old female complains of lower abdominal pain and purulent vaginal discharge.Her pulse rate =98/minTemp =101degFWBC count and ESR are raisedP/V examination reveals lower abdominal tenderness and cervical motion tenderness. What is the best treatment option for her?,Single IM injection of ceftriaxone with oral doxycycline and oral metronidazole for 14 days,Single dose of cetotriaxone injection with oral azithromyein for 14 days,Oral metronidazole for 14 days,Oral ofloxacin and oral metronidazole for 14 days,0,multi,"Ans. is a, i.e. single IM injection of ceftriaxone with oral doxycycline and oral metronidazole for 14 daysThis patient has PID. Any sexually active female who complains of lower abdominal pain and has at least 1 minimum criteria of PID-is taken as a case of PID.Minimum criteria1. Lower abdominal tenderness2. Cervical movement tenderness3. Adnexal tendernessIn this patient cervical motion tenderness is present so she is a case of PID.As per 2015 CDC guidelines.Best Treatment for OPD management of PID is:Inj ceftriaxone 250mg IM single dose+Doxycycline 100mg orally twice daily x14 days+/-Metronidazole 500mg orally twice daily x14 daysInstead of ceftriaxone-any 3deg generation cephalosporin like 2g cefoxitin or cefotaxime can also be used.",Gynaecology & Obstetrics,Sexually Transmitted Disease in the Female
113737,d8715dd5-ebac-4ba7-b7a1-63350b9aae95,"A boy with ASOM undergoing treatment with penicillin therapy for 7 days now presents with subsidence of pain and persistence of deafness, Diagnosis is:",Ototoxicity,Secretory otitis media,Adhesive otitis media,Tympanosclerosis,1,single,Inadequate antibiotic treatment of acute suppurative otitis media may inactivate infection but fail to resolve it completely.Low grade infection lingers on which acts as a stimulus for the mucosa to secrete more mucus which leads to development of serous/secretory otitis media.,ENT,
113871,339021ee-e994-4d47-b379-a00303e41271,Drug contraindicated in an asthmatic female for treatment for glaucoma -,Prostaglandin,Timolol,Apraclanidine,Bromonidine,1,single,"Ans. is 'b' i.e., Timolol o As you all know b2 receptors cause bronchodilatation, blockade of b2, mediated bronchodilatation can precipitate bronchospasm and acute attack of asthma.o Timolol is a non-selective b-blocker (blocks b1 and b2 receptors). Therefore, it can precipitate acute attack of asthma.",Medicine,Drugs
113953,6523e4f8-3ca0-45c0-bf55-b826cf34662e,"A 50 year old male chronic smoker complains of hoarseness for the past 4 months. Microlaryngoscopic biopsy shows it to be keratosis of the larynx. All are suggested treatment modalities for this condition, except -",Laser vaporizer,Stop smoking,Stripping of vocal cord,Partial laryngectomy,3,multi,,ENT,
113954,be822a4f-5e79-499d-b0bd-ad3a3824e7ec,"A 63-year-old woman has Type 2 diabetes mellitus, which is well controlled. Her physical examination is positive for peripheral neuropathy in the feet and non-proliferative retinopathy. A urinalysis is positive for proteinuria. Which of the following treatments is most likely to attenuate the course of renal disease?",calcium channel blockers,ACE inhibitors,hepatic hydroxymethylglutaryl coenzyme A (HMG-CoA) inhibitors,dietary carbohydrate restriction,1,single,"It is very likely that control of hypertension and excellent glucose control will slow the development and course of renal disease in Type 2 diabetes mellitus. ACE inhibitors seem to decrease proteinuria and slow progression of renal disease. As renal function deteriorates, limiting dietary protein intake can also be beneficial. Calcium channel blockers have no extra effect beyond their antihypertensive effect.",Medicine,Oncology
114210,2acc0057-bcb5-4381-b4c5-9d7fb32a1814,"All of the following drugs are used in the treatment of visceral leishmaniasis, EXCEPT:",Hydroxychloroquine,Miltefosine,Paromomycin,Sitamaquine,0,multi,"Drugs used in the treatment of visceral leishmaniasis are sodium stibogluconate and meglumine antimonate, amphotericin B, paromomycin, miltefosine. Sitamaquine is found to be effective and is undergoing trials. Drugs used for treating cutaneous leishmaniasis are: Pentavalent antimony Pentamidine isethionate Amphotericin B Fluconazole, Ketoconazole, Itraconazole Miltefosine Drugs used for treating mucosal leishmaniasis Pentavalent antimony Amphotericin B Pentamidine isethionate Ref: Sundar S. (2012). Chapter 212. Leishmaniasis. In D.L. Longo, A.S. Fauci, D.L. Kasper, S.L. Hauser, J.L. Jameson, J. Loscalzo (Eds), Harrison's Principles of Internal Medicine, 18e. Suurmond D. (2009). Section 29. Systemic Parasitic Infections. In D. Suurmond (Ed), Fitzpatrick's Color Atlas & Synopsis of Clinical Dermatology, 6e.",Skin,
114241,6f250792-4a4d-49b3-b7a1-70e3aec590a4,Which one of the following is the primary treatment of pubey menorrhagia in a 16 years old girl with 3 gm% Hb ?,Dilatation and curettage with blood transfusion,Danazol with blood transfusion,Progestogen with blood transfusion,A combination of estrogen and progesterone with blood transfusion,3,single,"Ans. is d i.e. A combination of estrogen and progesterone with blood transfusion Management of Pubey Menorrhagia Since, it is not mentioned in the question, whether the girl is having severe bleeding / moderate bleeding and I.V. conjugated estrogen with blood transfusion is not given in the options, combination of Estrogen and Progesterone is the next best option. The girl has Hb = 3 gm%. So, blood transfusion should be done.",Gynaecology & Obstetrics,
