,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,llm_label,llm_reason
6219,16bbe61e-29c1-4467-86a5-aba0398734c4,A patient was admitted to the emergency depament due to alcohol intoxication. 12 Hours after admission the patient began to show agitation and seizure like activities . The drug used In treatment acts by:,Facilitate GABA by increasing frequency of chloride channel opening,Facilitate GABA action by increasing duration of chloride channel opening,5HT antagonist,5HT agonist,0,single,* The clinical scenario describes alcohol withdrawal symptoms. Treatment for alcohol withdrawal is benzodiazepine. Benzodiazepine works by increasing frequency of chloride channel opening.* Barbiturates work by increasing duration of chloride channel opening* 5HT antagonist are Serotonin inhibitors. Atypical anti-depressants work by inhibiting 5HT receptors* 5HT agonist are serotonin receptors stimulators. They are used in treatment of Migraine and anxiety,Pharmacology,Sedative-Hypnotics and Parkinsonism,True,"The question is asking about the mechanism of action of a drug used for treating agitation and seizure-like activities in a patient with alcohol intoxication, which can be answered without reference to specific options."
6220,2df36521-bb3c-40ac-aad4-09f7d11c93f2,"A 50 year old man, known to have diabetes, presents with poor urinary stream, increased frequency of micturation and hesitancy. What is the most likely diagnosis?",BPH,UTI,Atonic bladder,Autonomic neuropathy,0,single,"Although patients of both BPH and autonomic neuropathy presents with symptoms of poor urinary stream and hesitancy, BPH causes increased frequency of micturition . While in autonomic neuropathy, patients are unable to empty the bladder and there is decreased frequency of micturition. So BPH is the correct answer to the question. Ref: Current Surgical Diagnosis & Treatment, By Gerard M. Dohey, Page 1012, 1013",Surgery,,True,The question can be answered based on the information provided without needing options.
6224,b6536e2c-5960-46a1-93ec-7e2b63f2d84d,A 35-year-old male present with the Squamous cell carcinoma of tongue with staging as T2N0M0. The treatment of this patient is most likely,SOHND,Level 1-2 lymph node excision,Level 1-5,Level 1-6,0,single,,Surgery,,True,"The question is asking for a likely treatment based on the presented clinical information, which can be answered without needing options."
6226,c3b5f937-92a6-4bca-95ff-f2183394706c,"A 65-year-old man presents to your clinic after falling several times in the past few months. On examination, his most notable findings are an unstable, wide-based gait and marked retropulsion. He does have bradykinesia with masked facies and dysahria. You find no evidence of cogwheeling or resting tremor. His symptoms do not respond to levodopa/carbidopa. During the next few months, his eye movements are notable for the slowing of veical saccades and fast phases. What is the most likely diagnosis?",L-DOPA resistant PD,Progressive supranuclear gaze palsy,Multiple system atrophy,Foville syndrome,1,multi,"Option A - Ruled out as resting tremors are absent & disease is ruled out as it is a ATYPICAL PARKINSONISM disease. Option B- since in the question its mentioned regarding the veical gaze of the patient, it's the most appropriate option. Option C- Ruled out as autonomic insufficiency isn't mentioned in the question. Option D- Manifestation of STROKE related to Pons with VIth nerve palsy.",Medicine,Raised ICP and Brain death,True,The question provides sufficient clinical details to arrive at a diagnosis without needing options.
6227,7e436a0f-401f-4511-9f0d-304749f7cfc0,Liver biopsy of an icteric patient shows intensely eosinophilic objects called as Councilman bodies. What can be the diagnosis of this patient?,Hea failure,Acute viral hepatitis,Cirrhosis of liver,Wilson's disease,1,multi,"Councilman bodies (acidophil or apoptotic body) are individual hepatocyte necrosis, in which a dead hepatocyte is identifiable as a shrunken, intensely eosinophilic, round body with no or a pyknotic nucleus. They lie free in the sinusoid. They found in the liver of individuals suffering from viral hepatitis, yellow fever, or other viral syndrome. Ref: The Washington Manual of Surgical Pathology: Depament of Pathology and ... By Peter A. Humphrey, Louis P. Dehner, John D. Pfeifer, 2008, Page 209 ; Biopsy Interpretation of the Liver by Stephen A. Geller, Lydia M. Petrovic, Page 90",Pathology,,True,The question can be answered based on the information provided without referencing specific options.
6235,492a9e0a-2452-414d-a748-4397b9d418ca,"A 35 year old lady complains of dysphagia, Raynaud's phenomenon and her hands show the following appearance. Investigations show positive ANA. The likely diagnosis is",Systemic lupus erythematosus,Systemic sclerosis,Mixed connective tissue disorder,Rheumatoid ahritis,1,single,"In the image, extensive subcutaneous fibrosis has viually immobilized the fingers, creating a clawlike flexion deformity.Systemic sclerosis is characterized by: (1) Chronic inflammation thought to be the result of autoimmunity, (2) Widespread damage to small blood vessels, and (3) Progressive interstitial and perivascular fibrosis in the skin and multiple organs.Skin thickening, Raynaud phenomenon, manifested as episodic vasoconstriction of the aeries and aerioles of the extremities is seen in viually all patients and precedes other symptoms in 70% of cases.Dysphagia attributable to oesophagal fibrosis and its resultant hypomotility is present in more than 50% of patients.Viually all patients have ANAs, one of these is directed against DNA topoisomerase I (anti-Scl 70), another, an anticentromere antibody (CREST syndrome)Ref: Robbins Pathology; 9th edition; Page no: 230",Pathology,General pathology,True,The question provides enough clinical information to suggest a likely diagnosis without needing specific options.
6236,abda6ac9-fa74-4a35-b75e-dedeb0c56673,A female patient with a mechanical heart valve who is taking warfarin informs you that she hopes to get pregnant in the near future. What advice do you give her regarding her antithrombotic medication during the anticipated pregnancy?,Continue with warfarin until the third trimester.,She should replace warfarin with aspirin at analgesic doses.,Discontinue all medications that affect the blood.,Replace warfarin with heparin.,3,multi,"Discontinuance of warfarin is appropriate during pregnancy because it is a known teratogen that causes bone dysmorphogenesis. The patient will need continued protection against thrombus formation, and heparin (or a related low molecular weight compound) is usually advised, despite the fact that the drug will require parenteral administration and can cause thrombocytopenia.",Pharmacology,Anti-Cancer,True,The question can be answered without needing specific options.
6237,94106eb8-f6a9-43f8-85db-ecdb67031a9f,GBS in a child treatment -,IVIG,Ventilation,Plasmapharesis,All of above,3,multi,"Ans. is 'd' i.e., All of above Guillain-Barre syndrome o Auto immune disorder, o Leads to demvelination of nerve. o H/O preceding viral infection : Infectious mononucleosis (EB Virus): Measles, mumps, ECHO, coxsackie. o Campylobacter: Strongly associated with severe form acute motor axonal neuropathy (AMAN). Clinical feature o Symmetrical weakness of LMN type Ascending type, o Subjective sensory involvement. o Facial nerve palsy seen in 3 /4th of cases. o Involvement of autonomic nervous systems, (urinary retenstion, hypo or hypertension). Diagnosis o CSF - Albumino cytological dissociation (Protein is elevated in 80% of cases but cell count normal). Treatment o Self limited in majority of cases, o Intravenous immunoglobin shows good response, o Plasma pharesis - Removal of autoantibodies, o Assisted ventilation - If patient had respiratory muscle paralysis, o Physiotherapy.",Pediatrics,Demyelinating Disorders of the CNS,True,"The question is asking about the treatment of GBS in a child, which is a specific topic that can be answered without needing options."
6239,b9c3a272-811e-455f-bca9-ea25f2456c3e,A two year old child presents with persistent diarrhoea acidic stools and presence of one per cent of reducing substance in the fresh stools. What is the most probable diagnosis ?,Cystic fibrosis,Lactose intolerance,Rotavirus induced diarrhoea,Intestinal tuberculosis,1,single,"Ans. is 'b' i.e., Lactose intolerance",Pediatrics,,True,The question can be answered based on medical knowledge without needing specific options.
6241,3a74a1d6-6730-46fb-aa69-e49ff050fa89,Best procedure to be done after an injury to leg associated with exposure of underlying bone and skin loss -,Pedicle flap,Split skin grafting,Full thickness grafting,Skin flap,0,single,,Surgery,,True,"The question is asking for a medical procedure related to a specific situation, which can be answered without needing multiple options."
6242,6df7b8db-9e4b-4ef3-9947-a288425c3586,A 10-year child presented with a mid tibial swelling which an x-ray revealed a lytic lesion with sclerotic margins. What is the most likely diagnosis?,Eosinophilic granuloma,Osteoid osteoma,Fibrocortical defect,Fibrous dysplasia,1,single,"An osteoid osteoma is a benign bone tumour that arises from osteoblasts and was originally thought to be a smaller version of an osteoblastoma.
Osteoid osteomas tend to be less than 1.5 cm in size.
A tumour can be in any bone in the body but are most common in long bones, such as the femur and tibia.",Orthopaedics,,True,The question is about a medical diagnosis that can be inferred from the provided information without needing options.
